id,prompt,category,hum_points,sound_points,draw_points,mime_points,hum_fit,sound_fit,draw_fit,mime_fit,representability,clear_target,audience_fit,rights_safety,accidental_giveaway,status,notes
C001,DOG,Animals,2,1,1,1,M,H,H,H,PASS_CANDIDATE,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,PROPOSED_CORE,HUM depends on player song association
C002,CAT,Animals,2,1,1,1,M,H,H,H,PASS_CANDIDATE,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,PROPOSED_CORE,HUM depends on player song association
C003,COW,Animals,2,1,1,1,M,H,H,H,PASS_CANDIDATE,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,PROPOSED_CORE,HUM depends on player song association
C004,HORSE,Animals,2,1,1,1,M,H,H,H,PASS_CANDIDATE,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,PROPOSED_CORE,HUM depends on player song association
C005,DUCK,Animals,2,1,1,1,M,H,H,H,PASS_CANDIDATE,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,PROPOSED_CORE,HUM depends on player song association
C006,CHICKEN,Animals,2,1,1,1,M,H,H,H,PASS_CANDIDATE,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,PROPOSED_CORE,HUM depends on player song association
C007,FROG,Animals,2,1,1,1,M,H,H,H,PASS_CANDIDATE,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,PROPOSED_CORE,HUM depends on player song association
C008,SNAKE,Animals,2,1,1,1,M,H,H,H,PASS_CANDIDATE,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,PROPOSED_CORE,HUM depends on player song association
C009,MONKEY,Animals,2,1,1,1,M,H,H,H,PASS_CANDIDATE,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,PROPOSED_CORE,HUM depends on player song association
C010,LION,Animals,2,1,1,1,M,H,H,H,PASS_CANDIDATE,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,PROPOSED_CORE,HUM depends on player song association
C011,ELEPHANT,Animals,2,1,1,1,M,H,H,H,PASS_CANDIDATE,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,PROPOSED_CORE,HUM depends on player song association
C012,GORILLA,Animals,2,1,1,1,M,H,H,H,PASS_CANDIDATE,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,PROPOSED_CORE,HUM depends on player song association
C013,PENGUIN,Animals,2,1,1,1,M,H,H,H,PASS_CANDIDATE,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,PROPOSED_CORE,HUM depends on player song association
